id;sku;nazwa;kategoria;szerokość;wysokość;głębokość;średnica;jednostka;reguła;raw
276677084;1421281;"Biurko gamingowe Huzaro Hero 6.3 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";154;74;117;;cm;product-dims-mm;"Szerokość produktu: 1540 mm; Wysokość produktu: 740 mm; Głębokość produktu: 1170 mm"
276677089;1421283;"Biurko gamingowe Huzaro Hero 1.6 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";120;75;60;;cm;product-dims-mm;"Szerokość produktu: 1200 mm; Wysokość produktu: 750 mm; Głębokość produktu: 600 mm"
276677094;1421284;"Biurko gamingowe Huzaro Hero 1.4 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";100;75;50;;cm;product-dims-mm;"Szerokość produktu: 1000 mm; Wysokość produktu: 750 mm; Głębokość produktu: 500 mm"
276677100;1421285;"Biurko gamingowe HZ-Hero 7.0";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";154;72.5;117;;cm;product-dims-mm;"Szerokość produktu: 1540 mm; Wysokość produktu: 725 mm; Głębokość produktu: 1170 mm"
276677105;1421286;"Biurko gamingowe Huzaro Hero 6.0 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";147;74;112;;cm;product-dims-mm;"Szerokość produktu: 1470 mm; Wysokość produktu: 740 mm; Głębokość produktu: 1120 mm"
276677110;1421287;"Biurko gamingowe Huzaro Hero 5.0 RGB";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";116;69.5;59;;cm;product-dims-mm;"Szerokość produktu: 1160 mm; Wysokość produktu: 695 mm; Głębokość produktu: 590 mm"
276677115;1421288;"Biurko gamingowe Huzaro Hero 1.8 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;70;;;cm;product-dims-mm;"Wysokość produktu: 700 mm"
276677118;1421289;"Biurko gamingowe Huzaro Hero 6.0 Black RGB";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";147;74;112;;cm;product-dims-mm;"Szerokość produktu: 1470 mm; Wysokość produktu: 740 mm; Głębokość produktu: 1120 mm"
276677120;1421290;"Biurko gamingowe Huzaro Hero 6.3 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";154;74;117;;cm;product-dims-mm;"Szerokość produktu: 1540 mm; Wysokość produktu: 740 mm; Głębokość produktu: 1170 mm"
276677122;1421291;"Biurko gamingowe HZ-Hero 2.5";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";120;;60;;cm;blat-sxg;"blatu (SxG): 1200 x 600 mm"
276677124;1421292;"Biurko gamingowe Huzaro Hero 2.5 RGB";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;75;;;cm;product-dims-mm;"Wysokość produktu: 750 mm"
276677126;1421293;"Biurko gamingowe Huzaro Hero 7.0 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";154;72.5;117;;cm;product-dims-mm;"Szerokość produktu: 1540 mm; Wysokość produktu: 725 mm; Głębokość produktu: 1170 mm"
